Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
80,69221,5,30,6,6,6.0,0.0,0,0,0.0,0.0,433.3944901,72.23241502,17305.25,33913.44501,68171,3,69221,17305.25,33913.44501,68171,3,0,0.0,0.0,0,0,100,0,72.23241502,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,0.0,0,0,0.0,0,0,DDoS
53,55487,4,176,44,44,44.0,0.0,99,99,99.0,0.0,10308.7209616667,144.1779155478,7926.7142857143,13710.5333073308,32134,3,55321,18440.3333333333,31933.5320679272,55314,3,23349,7783.0,13397.4129965453,23253,48,80,80,72.0889577739,72.0889577739,44,99,68.4444444444,28.9875452182,840.2777777778,0,0,0,77.0,176,-1,-1,3,20,0.0,0,0,0.0,0,0,Normal Traffic
80,1601290,5,30,6,6,6.0,0.0,0,0,0.0,0.0,18.73489499,3.122482498,400322.5,798061.754,1597412,1,1601290,400322.5,798061.754,1597412,1,0,0.0,0.0,0,0,100,0,3.122482498,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,0.0,0,0,0.0,0,0,DDoS
80,1953663,4,24,6,6,6.0,0.0,0,0,0.0,0.0,12.28461613,2.047436021,651221.0,1127404.862,1953036,274,1953663,651221.0,1127404.862,1953036,274,0,0.0,0.0,0,0,80,0,2.047436021,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0,DDoS
53,206,2,140,70,70,70.0,0.0,198,198,198.0,0.0,2601941.748,19417.47573,68.66666667,79.46277955,157,3,3,3.0,0.0,3,3,46,46.0,0.0,46,46,40,40,9708.737864,9708.737864,70,198,121.2,70.10848736,4915.2,0,0,0,151.5,140,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
80,32316,3,26,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,359976.4822,216.6109667,5386.0,11896.49917,29578,2,2679,1339.5,1802.415185,2614,65,32314,10771.33333,16343.65058,29578,9,72,92,92.83327144,123.7776953,0,11595,1454.125,4097.537534,16800000.0,0,1,0,1661.857143,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,1266910,3,26,20,0,8.666666667,10.26320288,10135,0,2900.25,4871.82583,9177.44749,5.525254359,211151.6667,506322.0343,1244533,61,22135,11067.5,14873.99114,21585,550,1266712,422237.3333,712212.4809,1244533,181,72,92,2.367966154,3.157288205,0,10135,1453.375,3544.652026,12600000.0,0,1,0,1661.0,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,78030727,8,56,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,149.3898679,0.179416501,6002363.615,20200000.0,73000000,3,76400000,10900000.0,27400000.0,73000000,3,1699808,339961.6,747178.1285,1676436,50,172,132,0.102523715,0.076892786,0,4380,777.5333333,1434.571657,2057995.838,0,0,1,833.0714286,56,256,229,6,20,3303957.0,3303957,3303957,73000000.0,73000000,73000000,DDoS
80,12075823,5,30,6,6,6.0,0.0,0,0,0.0,0.0,2.484302726,0.414050454,3018955.75,6035257.629,12100000,3,12100000,3018955.75,6035257.629,12100000,3,0,0.0,0.0,0,0,100,0,0.414050454,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,3981.0,3981,3981,12100000.0,12100000,12100000,DDoS
80,2540971,4,24,6,6,6.0,0.0,0,0,0.0,0.0,9.445208151,1.574201358,846990.3333,1466171.276,2539979,4,2540971,846990.3333,1466171.276,2539979,4,0,0.0,0.0,0,0,80,0,1.574201358,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0,DDoS
53,180,2,62,31,31,31.0,0.0,47,47,47.0,0.0,866666.666666667,22222.2222222222,60.0,96.9948452239,172,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,64,64,11111.1111111111,11111.1111111111,31,47,37.4,8.7635609201,76.8,0,0,0,46.75,62,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
80,79466,3,26,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,146314.1469,100.6719855,11352.28571,22143.94988,58884,83,19574,9787.0,13710.80049,19482,92,79383,19845.75,27545.67957,58884,168,72,112,37.75199456,62.91999094,0,7300,1291.888889,2460.652985,6054813.111,0,1,0,1453.375,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,77220,3,26,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,150569.8006,103.6001036,11031.42857,21775.65938,57928,62,18858,9429.0,12928.74039,18571,287,77118,19279.5,27221.57862,57928,184,72,112,38.85003885,64.75006475,0,5840,1291.888889,2110.95076,4456113.111,0,1,0,1453.375,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,3278916,4,24,6,6,6.0,0.0,0,0,0.0,0.0,7.319492174,1.219915362,1092972.0,1892220.539,3277920,3,3278916,1092972.0,1892220.539,3277920,3,0,0.0,0.0,0,0,80,0,1.219915362,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0,DDoS
53,30364,1,50,50,50,50.0,0.0,131,131,131.0,0.0,5961.006455,65.86747464,30364.0,0.0,30364,30364,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,20,32.93373732,32.93373732,50,131,77.0,46.7653718,2187.0,0,0,0,115.5,50,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,534433,3,26,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,21755.76733,14.96913551,76347.57143,190046.9106,506736,2,27318,13659.0,18861.36628,26996,322,534420,133605.0,249082.2708,506736,188,72,112,5.613425818,9.355709696,0,5840,1291.888889,2110.95076,4456113.111,0,1,0,1453.375,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,1807080,3,26,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,6434.13684,3.873652522,301180.0,734712.8865,1800900,98,5897,2948.5,3865.752773,5682,215,1806926,602308.6667,1038014.396,1800900,185,72,92,1.660136795,2.213515727,0,8760,1453.375,3113.952607,9696700.839,0,1,0,1661.0,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,3059840,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.960886844,611968.0,901292.5803,2023746,60,1036094,518047.0,699808.025,1012886,23208,3036692,1518346.0,714872.2279,2023837,1012855,104,112,0.980443422,0.980443422,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,29,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,6895292,3,18,6,6,6.0,0.0,0,0,0.0,0.0,2.61047683,0.435079472,3447646.0,4874368.471,6894345,947,6895292,3447646.0,4874368.471,6894345,947,0,0.0,0.0,0,0,60,0,0.435079472,0.0,6,6,6.0,0.0,0.0,0,0,1,8.0,18,256,-1,2,20,947.0,947,947,6894345.0,6894345,6894345,DDoS
80,153197,3,26,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,75895.74208,52.22034374,21885.28571,50022.32129,134362,2,18052,9026.0,12761.86319,18050,2,152828,38207.0,64659.86274,134362,157,72,112,19.5826289,32.63771484,0,5840,1291.888889,2110.95076,4456113.111,0,1,0,1453.375,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,34880,3,26,20,0,8.666666667,10.26320288,7215,0,2900.25,3540.00286,333342.8899,200.6880734,5813.333333,11209.90863,28207,51,28733,14366.5,19645.5477,28258,475,34829,11609.66667,15115.59017,28742,155,72,92,86.00917431,114.6788991,0,7215,1453.375,2786.259804,7763243.696,0,1,0,1661.0,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
443,4047669,5,123,46,0,24.6,23.2765976895,46,46,46.0,0.0,41.7524259024,1.4823346474,809533.8,1777629.65373519,3989336,63,4047669,1011917.25,1985001.43491911,3989336,139,0,0.0,0.0,0,0,160,32,1.2352788729,0.2470557746,0,46,30.7142857143,21.6849739506,470.2380952381,0,0,1,35.8333333333,123,332,357,2,32,0.0,0,0,0.0,0,0,Normal Traffic
53,72088,1,53,53,53,53.0,0.0,145,145,145.0,0.0,2746.642992,27.74386861,72088.0,0.0,72088,72088,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,32,13.8719343,13.8719343,53,145,83.66666667,53.11622477,2821.333333,0,0,0,125.5,53,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,977347,3,26,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,11896.49122,9.208602472,122168.375,341863.2056,968206,14,8604,4302.0,5853.429935,8441,163,977333,195466.6,431990.0805,968206,50,72,132,3.069534157,6.139068315,0,4380,1162.7,1645.241762,2706820.456,0,1,0,1291.888889,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
465,147834,2,81,75,6,40.5,48.7903679,6,6,6.0,0.0,588.4979098,20.29303137,73917.0,30141.13365,95230,52604,95230,95230.0,0.0,95230,95230,0,0.0,0.0,0,0,40,20,13.52868758,6.764343791,6,75,23.25,34.5,1190.25,0,0,1,31.0,81,258,0,1,20,0.0,0,0,0.0,0,0,Normal Traffic
443,119999390,15,1336,629,6,89.06666667,219.212378,1381,6,202.4285714,499.3127145,34.75017665,0.241667895,4285692.5,4998226.784,10200000,4,120000000,8569329.786,3577670.569,10200000,183041,120000000,9216643.692,2757790.844,10200000,220424,300,280,0.125000635,0.11666726,6,1381,139.2,372.5606084,138801.4069,0,0,1,144.0,1336,5042,5042,14,20,59741.5,248865,28448,9937809.917,10200000,8635766,Normal Traffic
